שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
הערות על שערי תורת בבל על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר מועד/הערות על שערי תורת בבל על פסחים.txt,sefaria,29
שערי תורת בבל על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר מועד/שערי תורת בבל על עירובין.txt,sefaria,81
שערי תורת בבל על מועד קטן.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר מועד/שערי תורת בבל על מועד קטן.txt,sefaria,67
הערות על שערי תורת בבל על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר מועד/הערות על שערי תורת בבל על ביצה.txt,sefaria,9
שערי תורת בבל על מגילה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר מועד/שערי תורת בבל על מגילה.txt,sefaria,57
הערות על שערי תורת בבל על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר מועד/הערות על שערי תורת בבל על תענית.txt,sefaria,15
שערי תורת בבל על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר מועד/שערי תורת בבל על תענית.txt,sefaria,48
שערי תורת בבל על נדה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר טהרות/שערי תורת בבל על נדה.txt,sefaria,87
הערות על שערי תורת בבל על נדה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר טהרות/הערות על שערי תורת בבל על נדה.txt,sefaria,5
הערות על שערי תורת בבל על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר זרעים/הערות על שערי תורת בבל על ברכות.txt,sefaria,11
שערי תורת בבל על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר זרעים/שערי תורת בבל על ברכות.txt,sefaria,92
שערי תורת בבל על הוריות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/שערי תורת בבל על הוריות.txt,sefaria,27
שערי תורת בבל על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/שערי תורת בבל על עבודה זרה.txt,sefaria,144
שערי תורת בבל על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/שערי תורת בבל על בבא בתרא.txt,sefaria,88
הערות על שערי תורת בבל על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/הערות על שערי תורת בבל על עבודה זרה.txt,sefaria,21
שערי תורת בבל על מכות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/שערי תורת בבל על מכות.txt,sefaria,27
הערות על שערי תורת בבל על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/הערות על שערי תורת בבל על סנהדרין.txt,sefaria,26
שערי תורת בבל על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/שערי תורת בבל על בבא קמא.txt,sefaria,152
שערי תורת בבל על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/שערי תורת בבל על סנהדרין.txt,sefaria,192
שערי תורת בבל על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/שערי תורת בבל על בבא מציעא.txt,sefaria,58
הערות על שערי תורת בבל על מכות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/הערות על שערי תורת בבל על מכות.txt,sefaria,7
הערות על שערי תורת בבל על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/הערות על שערי תורת בבל על בבא מציעא.txt,sefaria,4
הערות על שערי תורת בבל על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/הערות על שערי תורת בבל על בבא קמא.txt,sefaria,9
שערי תורת בבל על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/שערי תורת בבל על שבועות.txt,sefaria,38
הערות על שערי תורת בבל על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/הערות על שערי תורת בבל על בבא בתרא.txt,sefaria,10
הערות על שערי תורת בבל על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נזיקין/הערות על שערי תורת בבל על שבועות.txt,sefaria,2
הערות על שערי תורת בבל על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/הערות על שערי תורת בבל על גיטין.txt,sefaria,6
הערות על שערי תורת בבל על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/הערות על שערי תורת בבל על יבמות.txt,sefaria,26
הערות על שערי תורת בבל על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/הערות על שערי תורת בבל על כתובות.txt,sefaria,11
שערי תורת בבל על נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/שערי תורת בבל על נזיר.txt,sefaria,79
שערי תורת בבל על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/שערי תורת בבל על כתובות.txt,sefaria,88
שערי תורת בבל על סוטה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/שערי תורת בבל על סוטה.txt,sefaria,111
שערי תורת בבל על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/שערי תורת בבל על גיטין.txt,sefaria,67
הערות על שערי תורת בבל על נדרים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/הערות על שערי תורת בבל על נדרים.txt,sefaria,3
הערות על שערי תורת בבל על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/הערות על שערי תורת בבל על קידושין.txt,sefaria,7
שערי תורת בבל על נדרים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/שערי תורת בבל על נדרים.txt,sefaria,43
שערי תורת בבל על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/שערי תורת בבל על יבמות.txt,sefaria,120
הערות על שערי תורת בבל על סוטה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/הערות על שערי תורת בבל על סוטה.txt,sefaria,23
הערות על שערי תורת בבל על נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/הערות על שערי תורת בבל על נזיר.txt,sefaria,14
שערי תורת בבל על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר נשים/שערי תורת בבל על קידושין.txt,sefaria,58
שערי תורת בבל על אבות דרבי נתן.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על אבות דרבי נתן.txt,sefaria,12
שערי תורת בבל על מסכת כותים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על מסכת כותים.txt,sefaria,6
שערי תורת בבל על מסכת דרך ארץ רבה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על מסכת דרך ארץ רבה.txt,sefaria,9
שערי תורת בבל על מסכת סופרים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על מסכת סופרים.txt,sefaria,42
הערות על שערי תורת בבל על מסכת דרך ארץ זוטא.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/הערות על שערי תורת בבל על מסכת דרך ארץ זוטא.txt,sefaria,2
הערות על שערי תורת בבל על מסכת סופרים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/הערות על שערי תורת בבל על מסכת סופרים.txt,sefaria,3
שערי תורת בבל על מסכת כלה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על מסכת כלה.txt,sefaria,6
שערי תורת בבל על מסכת גרים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על מסכת גרים.txt,sefaria,6
שערי תורת בבל על מסכת שמחות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על מסכת שמחות.txt,sefaria,15
שערי תורת בבל על מסכת דרך ארץ זוטא.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על מסכת דרך ארץ זוטא.txt,sefaria,9
הערות על שערי תורת בבל על אבות דרבי נתן.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/הערות על שערי תורת בבל על אבות דרבי נתן.txt,sefaria,1
שערי תורת בבל על מסכת עבדים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/מסכתות קטנות/שערי תורת בבל על מסכת עבדים.txt,sefaria,6
הערות על שערי תורת בבל על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/הערות על שערי תורת בבל על זבחים.txt,sefaria,11
שערי תורת בבל על ערכין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על ערכין.txt,sefaria,49
הערות על שערי תורת בבל על תמורה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/הערות על שערי תורת בבל על תמורה.txt,sefaria,14
שערי תורת בבל על תמורה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על תמורה.txt,sefaria,78
הערות על שערי תורת בבל על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/הערות על שערי תורת בבל על מנחות.txt,sefaria,17
הערות על שערי תורת בבל על תמיד.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/הערות על שערי תורת בבל על תמיד.txt,sefaria,10
הערות על שערי תורת בבל על בכורות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/הערות על שערי תורת בבל על בכורות.txt,sefaria,29
שערי תורת בבל על כריתות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על כריתות.txt,sefaria,42
שערי תורת בבל על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על מעילה.txt,sefaria,32
הערות על שערי תורת בבל על כריתות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/הערות על שערי תורת בבל על כריתות.txt,sefaria,4
שערי תורת בבל על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על מנחות.txt,sefaria,177
שערי תורת בבל על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על זבחים.txt,sefaria,89
הערות על שערי תורת בבל על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/הערות על שערי תורת בבל על מעילה.txt,sefaria,2
שערי תורת בבל על תמיד.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על תמיד.txt,sefaria,31
הערות על שערי תורת בבל על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/הערות על שערי תורת בבל על חולין.txt,sefaria,30
שערי תורת בבל על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על חולין.txt,sefaria,208
שערי תורת בבל על בכורות.txt,אוצריא/תלמוד בבלי/אחרונים/שערי תורת בבל/סדר קדשים/שערי תורת בבל על בכורות.txt,sefaria,95
הערות על רשימות שיעורים על הוריות.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/הערות על רשימות שיעורים על הוריות.txt,sefaria,80
רשימות שיעורים על סנהדרין.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/רשימות שיעורים על סנהדרין.txt,sefaria,2931
הערות על רשימות שיעורים על סנהדרין.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/הערות על רשימות שיעורים על סנהדרין.txt,sefaria,647
רשימות שיעורים על הוריות.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/רשימות שיעורים על הוריות.txt,sefaria,389
הערות על רשימות שיעורים על סוכה.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר מועד/הערות על רשימות שיעורים על סוכה.txt,sefaria,238
רשימות שיעורים על סוכה.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר מועד/רשימות שיעורים על סוכה.txt,sefaria,2232
הערות על רשימות שיעורים על ברכות.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר זרעים/הערות על רשימות שיעורים על ברכות.txt,sefaria,521
רשימות שיעורים על ברכות.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר זרעים/רשימות שיעורים על ברכות.txt,sefaria,2303
רשימות שיעורים על בבא קמא.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נזיקין/רשימות שיעורים על בבא קמא.txt,sefaria,3769
הערות על רשימות שיעורים על שבועות.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נזיקין/הערות על רשימות שיעורים על שבועות.txt,sefaria,356
רשימות שיעורים על שבועות.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נזיקין/רשימות שיעורים על שבועות.txt,sefaria,2210
הערות על רשימות שיעורים על בבא קמא.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נזיקין/הערות על רשימות שיעורים על בבא קמא.txt,sefaria,975
הערות על רשימות שיעורים על בבא מציעא.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נזיקין/הערות על רשימות שיעורים על בבא מציעא.txt,sefaria,743
רשימות שיעורים על בבא מציעא.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נזיקין/רשימות שיעורים על בבא מציעא.txt,sefaria,3323
הערות על רשימות שיעורים על קידושין.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נשים/הערות על רשימות שיעורים על קידושין.txt,sefaria,1558
רשימות שיעורים על קידושין.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נשים/רשימות שיעורים על קידושין.txt,sefaria,4494
רשימות שיעורים על נדרים.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נשים/רשימות שיעורים על נדרים.txt,sefaria,562
הערות על רשימות שיעורים על נדרים.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נשים/הערות על רשימות שיעורים על נדרים.txt,sefaria,123
רשימות שיעורים על יבמות.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נשים/רשימות שיעורים על יבמות.txt,sefaria,2784
הערות על רשימות שיעורים על יבמות.txt,אוצריא/תלמוד בבלי/מחברי זמננו/רשימות שיעורים/סדר נשים/הערות על רשימות שיעורים על יבמות.txt,sefaria,867
ברכות.txt,אוצריא/תלמוד בבלי/סדר זרעים/ברכות.txt,sefaria,2876
מכות.txt,אוצריא/תלמוד בבלי/סדר נזיקין/מכות.txt,sefaria,757
בבא מציעא.txt,אוצריא/תלמוד בבלי/סדר נזיקין/בבא מציעא.txt,sefaria,3897
סנהדרין.txt,אוצריא/תלמוד בבלי/סדר נזיקין/סנהדרין.txt,sefaria,4397
עבודה זרה.txt,אוצריא/תלמוד בבלי/סדר נזיקין/עבודה זרה.txt,sefaria,2283
בבא קמא.txt,אוצריא/תלמוד בבלי/סדר נזיקין/בבא קמא.txt,sefaria,4552
שבועות.txt,אוצריא/תלמוד בבלי/סדר נזיקין/שבועות.txt,sefaria,1653
בבא בתרא.txt,אוצריא/תלמוד בבלי/סדר נזיקין/בבא בתרא.txt,sefaria,4156
הוריות.txt,אוצריא/תלמוד בבלי/סדר נזיקין/הוריות.txt,sefaria,478
דרכי התלמוד.txt,אוצריא/תלמוד בבלי/ספרות עזר/דרכי התלמוד.txt,sefaria,71
מבוא התלמוד.txt,אוצריא/תלמוד בבלי/ספרות עזר/מבוא התלמוד.txt,sefaria,221
הערות על מבוא התלמוד.txt,אוצריא/תלמוד בבלי/ספרות עזר/הערות על מבוא התלמוד.txt,sefaria,3
כתובות.txt,אוצריא/תלמוד בבלי/סדר נשים/כתובות.txt,sefaria,3262
גיטין.txt,אוצריא/תלמוד בבלי/סדר נשים/גיטין.txt,sefaria,3172
קידושין.txt,אוצריא/תלמוד בבלי/סדר נשים/קידושין.txt,sefaria,2570
יבמות.txt,אוצריא/תלמוד בבלי/סדר נשים/יבמות.txt,sefaria,4113
נדרים.txt,אוצריא/תלמוד בבלי/סדר נשים/נדרים.txt,sefaria,1691
נזיר.txt,אוצריא/תלמוד בבלי/סדר נשים/נזיר.txt,sefaria,1430
סוטה.txt,אוצריא/תלמוד בבלי/סדר נשים/סוטה.txt,sefaria,1733
מסכת גרים.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת גרים.txt,sefaria,40
מסכת עבדים.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת עבדים.txt,sefaria,30
מסכת מזוזה.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת מזוזה.txt,sefaria,27
מסכת ציצית.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת ציצית.txt,sefaria,14
מסכת כלה.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת כלה.txt,sefaria,33
מסכת כותים.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת כותים.txt,sefaria,25
מסכת תפילין.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת תפילין.txt,sefaria,24
אבות דרבי נתן.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/אבות דרבי נתן.txt,sefaria,296
מסכת כלה רבתי.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת כלה רבתי.txt,sefaria,141
מסכת ספר תורה.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת ספר תורה.txt,sefaria,67
מסכת דרך ארץ רבה.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת דרך ארץ רבה.txt,sefaria,112
אבות דרבי נתן נוסח ב.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/אבות דרבי נתן נוסח ב.txt,sefaria,687
מסכת דרך ארץ זוטא.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת דרך ארץ זוטא.txt,sefaria,141
מסכת שמחות.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת שמחות.txt,sefaria,248
מסכת סופרים.txt,אוצריא/תלמוד בבלי/מסכתות קטנות/מסכת סופרים.txt,sefaria,250
חולין.txt,אוצריא/תלמוד בבלי/סדר קדשים/חולין.txt,sefaria,4676
כריתות.txt,אוצריא/תלמוד בבלי/סדר קדשים/כריתות.txt,sefaria,1267
מעילה.txt,אוצריא/תלמוד בבלי/סדר קדשים/מעילה.txt,sefaria,558
ערכין.txt,אוצריא/תלמוד בבלי/סדר קדשים/ערכין.txt,sefaria,1250
תמיד.txt,אוצריא/תלמוד בבלי/סדר קדשים/תמיד.txt,sefaria,226
בכורות.txt,אוצריא/תלמוד בבלי/סדר קדשים/בכורות.txt,sefaria,2078
זבחים.txt,אוצריא/תלמוד בבלי/סדר קדשים/זבחים.txt,sefaria,4057
מנחות.txt,אוצריא/תלמוד בבלי/סדר קדשים/מנחות.txt,sefaria,4002
תמורה.txt,אוצריא/תלמוד בבלי/סדר קדשים/תמורה.txt,sefaria,1217
ברטנורא על התורה.txt,אוצריא/תנך/ראשונים/ברטנורא על התורה.txt,sefaria,2361
אשכול הכופר על רות.txt,אוצריא/תנך/ראשונים/אשכול הכופר על רות.txt,sefaria,165
ריבא על התורה.txt,אוצריא/תנך/ראשונים/ריבא על התורה.txt,sefaria,1773
משמיע ישועה.txt,אוצריא/תנך/ראשונים/משמיע ישועה.txt,sefaria,1387
הערות על גביע כסף.txt,אוצריא/תנך/ראשונים/הערות על גביע כסף.txt,sefaria,66
ראש על התורה.txt,אוצריא/תנך/ראשונים/ראש על התורה.txt,sefaria,1403
עזרא בן שלמה על שיר השירים.txt,אוצריא/תנך/ראשונים/עזרא בן שלמה על שיר השירים.txt,sefaria,645
גביע כסף.txt,אוצריא/תנך/ראשונים/גביע כסף.txt,sefaria,268
פענח רזא.txt,אוצריא/תנך/ראשונים/פענח רזא.txt,sefaria,2010
שלום אסתר.txt,אוצריא/תנך/ראשונים/שלום אסתר.txt,sefaria,266
תולדות יצחק על התורה.txt,אוצריא/תנך/ראשונים/תולדות יצחק על התורה.txt,sefaria,1715
הדר זקנים על התורה.txt,אוצריא/תנך/ראשונים/הדר זקנים על התורה.txt,sefaria,2895
עטרת זקנים.txt,אוצריא/תנך/ראשונים/עטרת זקנים.txt,sefaria,155
צרור המור על התורה.txt,אוצריא/תנך/ראשונים/צרור המור על התורה.txt,sefaria,2009
הערות על משמיע ישועה.txt,אוצריא/תנך/ראשונים/הערות על משמיע ישועה.txt,sefaria,2586
בעל הטורים על בראשית.txt,אוצריא/תנך/ראשונים/בעל הטורים/תורה/בעל הטורים על בראשית.txt,sefaria,26
אברבנאל על תורה.txt,אוצריא/תנך/ראשונים/אברבנאל/אברבנאל על תורה.txt,sefaria,4222
אברבנאל על יחזקאל.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על יחזקאל.txt,sefaria,1315
אברבנאל על שמואל א.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על שמואל א.txt,sefaria,1041
אברבנאל על ישעיהו.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על ישעיהו.txt,sefaria,1701
אברבנאל על צפניה.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על צפניה.txt,sefaria,93
אברבנאל על חבקוק.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על חבקוק.txt,sefaria,104
אברבנאל על זכריה.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על זכריה.txt,sefaria,377
אברבנאל על שופטים.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על שופטים.txt,sefaria,621
אברבנאל על שמואל ב.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על שמואל ב.txt,sefaria,803
אברבנאל על עובדיה.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על עובדיה.txt,sefaria,50
אברבנאל על נחום.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על נחום.txt,sefaria,85
אברבנאל על יונה.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על יונה.txt,sefaria,92
אברבנאל על חגי.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על חגי.txt,sefaria,58
אברבנאל על יואל.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על יואל.txt,sefaria,102
אברבנאל על מלכים א.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על מלכים א.txt,sefaria,994
אברבנאל על יהושע.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על יהושע.txt,sefaria,453
אברבנאל על עמוס.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על עמוס.txt,sefaria,231
אברבנאל על הושע.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על הושע.txt,sefaria,398
אברבנאל על מלכים ב.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על מלכים ב.txt,sefaria,606
אברבנאל על ירמיהו.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על ירמיהו.txt,sefaria,804
אברבנאל על מיכה.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על מיכה.txt,sefaria,192
אברבנאל על מלאכי.txt,אוצריא/תנך/ראשונים/אברבנאל/נביאים/אברבנאל על מלאכי.txt,sefaria,117
רלבג ביאור המלות על התורה.txt,אוצריא/תנך/ראשונים/רלבג ביאור המלות/תורה/רלבג ביאור המלות על התורה.txt,sefaria,6297
קיצור בעל הטורים על דברים.txt,אוצריא/תנך/ראשונים/קיצור בעל הטורים/תורה/קיצור בעל הטורים על דברים.txt,sefaria,1052
קיצור בעל הטורים על שמות.txt,אוצריא/תנך/ראשונים/קיצור בעל הטורים/תורה/קיצור בעל הטורים על שמות.txt,sefaria,1033
קיצור בעל הטורים על ויקרא.txt,אוצריא/תנך/ראשונים/קיצור בעל הטורים/תורה/קיצור בעל הטורים על ויקרא.txt,sefaria,572
קיצור בעל הטורים על בראשית.txt,אוצריא/תנך/ראשונים/קיצור בעל הטורים/תורה/קיצור בעל הטורים על בראשית.txt,sefaria,1096
קיצור בעל הטורים על במדבר.txt,אוצריא/תנך/ראשונים/קיצור בעל הטורים/תורה/קיצור בעל הטורים על במדבר.txt,sefaria,806
חבצלת השרון על דניאל.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/חבצלת השרון על דניאל.txt,sefaria,539
עיני משה על רות.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/עיני משה על רות.txt,sefaria,217
שושנת העמקים על שיר השירים.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/שושנת העמקים על שיר השירים.txt,sefaria,180
דברים ניחומים על איכה.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/דברים ניחומים על איכה.txt,sefaria,217
דברים טובים על קהלת.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/דברים טובים על קהלת.txt,sefaria,171
רוממות אל על תהילים.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/רוממות אל על תהילים.txt,sefaria,5965
רב פנינים על משלי.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/רב פנינים על משלי.txt,sefaria,2648
חלקת מחוקק על איוב.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/חלקת מחוקק על איוב.txt,sefaria,2245
משאת משה על אסתר.txt,אוצריא/תנך/ראשונים/אלשיך/כתובים/משאת משה על אסתר.txt,sefaria,212
תורת משה - אלשיך.txt,אוצריא/תנך/ראשונים/אלשיך/תורה/תורת משה - אלשיך.txt,sefaria,4223
אבן עזרא מהדורא תניינא על אסתר.txt,אוצריא/תנך/ראשונים/אבן עזרא מהדורא תניינא/כתובים/אבן עזרא מהדורא תניינא על אסתר.txt,sefaria,501
רדק על מלאכי.txt,אוצריא/תנך/ראשונים/רדק/נביאים/רדק על מלאכי.txt,sefaria,200
רדק על עמוס.txt,אוצריא/תנך/ראשונים/רדק/נביאים/רדק על עמוס.txt,sefaria,474
רדק על יואל.txt,אוצריא/תנך/ראשונים/רדק/נביאים/רדק על יואל.txt,sefaria,257
